Strategy,Mean,Std,Median,CI_Lower,CI_Upper,T-statistic,P-value,Wins_vs_PPO,N,Window
PassiveWidthSweep,9937.262997709922,,9937.262997709922,9937.262997709922,9937.262997709922,0.4856170574780757,0.6526391024036788,2.0,1,0
VolProportionalWidth,13767.45165635282,,13767.45165635282,13767.45165635282,13767.45165635282,-0.0154235405753533,0.9884329178199172,2.0,1,0
ILMinimizer,9973.52847549978,,9973.52847549978,9973.52847549978,9973.52847549978,0.4808730413734063,0.6557265641104089,2.0,1,0
ReactiveRecentering,46946.00284660908,,46946.00284660908,46946.00284660908,46946.00284660908,-4.3556278000706055,0.0121035374775498,0.0,1,0
PPO,13649.546898899338,6978.41231492203,9646.436044647102,8761.239658632414,19734.44305401868,,,,5,0
PassiveWidthSweep,9338.936352747223,,9338.936352747223,9338.936352747223,9338.936352747223,0.6684028438011949,0.5404697884365074,4.0,1,1
VolProportionalWidth,26662.077110822294,,26662.077110822294,26662.077110822294,26662.077110822294,-0.7077280271121148,0.5181715121047498,1.0,1,1
ILMinimizer,11014.774371586454,,11014.774371586454,11014.774371586454,11014.774371586454,0.5352761513277264,0.6208327070255459,2.0,1,1
ReactiveRecentering,28579.60641239618,,28579.60641239618,28579.60641239618,28579.60641239618,-0.8600544039873135,0.4382531087667181,1.0,1,1
PPO,17752.988236185556,11491.488152985636,9750.395905428237,9533.998003302222,27301.00613622252,,,,5,1
PPO,4524.47696564593,781.4516044924342,4140.552371959573,3923.612529888585,5125.341401403277,,,,5,2
ReactiveRecentering,11652.438688302203,,11652.438688302203,11652.438688302203,11652.438688302203,-8.32669483750486,0.0011366178755778,0.0,1,2
PassiveWidthSweep,7875.93112391412,,7875.93112391412,7875.93112391412,7875.93112391412,-3.91507939066014,0.0173194142557799,0.0,1,2
VolProportionalWidth,8061.887139706463,,8061.887139706463,8061.887139706463,8061.887139706463,-4.132308250318502,0.0144667058027234,0.0,1,2
ILMinimizer,8061.887139706463,,8061.887139706463,8061.887139706463,8061.887139706463,-4.132308250318502,0.0144667058027234,0.0,1,2
PassiveWidthSweep,5729.315556511908,,5729.315556511908,5729.315556511908,5729.315556511908,-1.8462470079786524,0.1385909729851527,0.0,1,3
VolProportionalWidth,7071.044214945107,,7071.044214945107,7071.044214945107,7071.044214945107,-2.620047234650557,0.0587964623778422,0.0,1,3
ILMinimizer,5751.859514714372,,5751.859514714372,5751.859514714372,5751.859514714372,-1.8592485339261708,0.1365191749977085,0.0,1,3
ReactiveRecentering,7420.267226186834,,7420.267226186834,7420.267226186834,7420.267226186834,-2.8214507327121194,0.0477576913958651,0.0,1,3
PPO,2528.020912536784,1582.8698996289445,2252.792415783242,1480.3022034647822,3880.786004708,,,,5,3
PPO,3378.31402198112,17.343217401521954,3386.070144592792,3362.8017767577758,3386.070144592792,,,,5,4
ReactiveRecentering,-319.1647009750401,,-319.1647009750401,-319.1647009750401,-319.1647009750401,194.61906976583276,4.1815110075910335e-09,5.0,1,4
VolProportionalWidth,2926.2867541381747,,2926.2867541381747,2926.2867541381747,2926.2867541381747,23.79273363500244,1.8504467969342304e-05,5.0,1,4
PassiveWidthSweep,2921.2867541381743,,2921.2867541381743,2921.2867541381743,2921.2867541381743,24.055911714375203,1.7712393185988023e-05,5.0,1,4
ILMinimizer,2926.2867541381747,,2926.2867541381747,2926.2867541381747,2926.2867541381747,23.79273363500244,1.8504467969342304e-05,5.0,1,4
PassiveWidthSweep,9241.520787745389,,9241.520787745389,9241.520787745389,9241.520787745389,-1.006842955096405,0.3709731568076763,1.0,1,5
VolProportionalWidth,10199.533083825248,,10199.533083825248,10199.533083825248,10199.533083825248,-1.178813362179605,0.3038046462052549,1.0,1,5
ILMinimizer,9464.136901143163,,9464.136901143163,9464.136901143163,9464.136901143163,-1.04680422052165,0.3542739146317848,1.0,1,5
ReactiveRecentering,3979.408274316156,,3979.408274316156,3979.408274316156,3979.408274316156,-0.0622542115542339,0.9533470017097874,2.0,1,5
PPO,3632.602674659357,5085.41899572672,3332.637590614804,121.4420227176832,7693.861374790297,,,,5,5
ILMinimizer,6643.297850777554,,6643.297850777554,6643.297850777554,6643.297850777554,-0.9806684175780764,0.3822809229973128,1.0,1,6
VolProportionalWidth,6643.297850777554,,6643.297850777554,6643.297850777554,6643.297850777554,-0.9806684175780764,0.3822809229973128,1.0,1,6
PassiveWidthSweep,6638.297850777554,,6638.297850777554,6638.297850777554,6638.297850777554,-0.9794606860700528,0.3828098091628216,1.0,1,6
PPO,2583.337457831171,3779.279264929232,3314.567423661451,-560.5697621879269,5374.774144577283,,,,5,6
ReactiveRecentering,6507.385461018961,,6507.385461018961,6507.385461018961,6507.385461018961,-0.9478392824896216,0.396882741999745,1.0,1,6
ReactiveRecentering,1967.1166202732077,,1967.1166202732077,1967.1166202732077,1967.1166202732077,1.1630284844733028,0.3094710380453133,5.0,1,7
ILMinimizer,5423.836690195729,,5423.836690195729,5423.836690195729,5423.836690195729,-1.0239030823580169,0.3637610226895794,1.0,1,7
VolProportionalWidth,5423.836690195729,,5423.836690195729,5423.836690195729,5423.836690195729,-1.0239030823580169,0.3637610226895794,1.0,1,7
PassiveWidthSweep,5418.836690195729,,5418.836690195729,5418.836690195729,5418.836690195729,-1.0207397779500895,0.3650889338330596,1.0,1,7
PPO,3805.429242919861,1442.907180996574,3422.171247972763,2856.563004407398,5137.553476379423,,,,5,7
VolProportionalWidth,3830.4360514546624,,3830.4360514546624,3830.4360514546624,3830.4360514546624,-1.135838931514916,0.3194618105043195,0.0,1,8
ILMinimizer,3830.4360514546624,,3830.4360514546624,3830.4360514546624,3830.4360514546624,-1.135838931514916,0.3194618105043195,0.0,1,8
ReactiveRecentering,7074.167831327833,,7074.167831327833,7074.167831327833,7074.167831327833,-2.4468798956019,0.0706823873055245,0.0,1,8
PassiveWidthSweep,3825.436051454664,,3825.436051454664,3825.436051454664,3825.436051454664,-1.1338180477719668,0.3202161341809634,0.0,1,8
PPO,1020.1830235960504,2258.593381138421,1348.430527814513,-936.5536344736314,2643.923486056969,,,,5,8
PPO,3787.685280361703,4173.119015712671,4607.023896219425,-99.62757493853071,6808.147983618846,,,,5,9
ReactiveRecentering,-1634.5433245714446,,-1634.5433245714446,-1634.5433245714446,-1634.5433245714446,1.186113994388626,0.301216755576193,4.0,1,9
ILMinimizer,7615.287517856587,,7615.287517856587,7615.287517856587,7615.287517856587,-0.8372890391813116,0.4495400296535476,1.0,1,9
VolProportionalWidth,7615.287517856587,,7615.287517856587,7615.287517856587,7615.287517856587,-0.8372890391813116,0.4495400296535476,1.0,1,9
PassiveWidthSweep,7574.571841619037,,7574.571841619037,7574.571841619037,7574.571841619037,-0.8283824738379733,0.4540187382164132,1.0,1,9
PPO,13702.213752115567,3893.192537115801,15576.296802594215,10171.957089396186,15576.296802594215,,,,5,10
ReactiveRecentering,8312.410771408806,,8312.410771408806,8312.410771408806,8312.410771408806,1.2637942789016268,0.2749380262158502,4.0,1,10
ILMinimizer,13517.434803576703,,13517.434803576703,13517.434803576703,13517.434803576703,0.043326737333588,0.9675176490561226,4.0,1,10
VolProportionalWidth,13517.434803576703,,13517.434803576703,13517.434803576703,13517.434803576703,0.043326737333588,0.9675176490561226,4.0,1,10
PassiveWidthSweep,13512.434803576703,,13512.434803576703,13512.434803576703,13512.434803576703,0.0444991310958698,0.966639412644531,4.0,1,10
ReactiveRecentering,2288.5172269778523,,2288.5172269778523,2288.5172269778523,2288.5172269778523,3.970052253841855,0.0165379671815155,5.0,1,11
PPO,10695.24600137693,1933.0371030214465,9285.335836773957,9283.200977520164,12108.291025233695,,,,5,11
PassiveWidthSweep,22607.464457383423,,22607.464457383423,22607.464457383423,22607.464457383423,-5.625509160417229,0.0049106252779036,0.0,1,11
VolProportionalWidth,22594.66354087237,,22594.66354087237,22594.66354087237,22594.66354087237,-5.619463966286464,0.0049297951951527,0.0,1,11
ILMinimizer,22594.66354087237,,22594.66354087237,22594.66354087237,22594.66354087237,-5.619463966286464,0.0049297951951527,0.0,1,11
PPO,25455.101506970088,2516.7135300180985,27290.520791773943,23602.18185655632,27293.43762200156,,,,5,12
ReactiveRecentering,13899.750136784778,,13899.750136784778,13899.750136784778,13899.750136784778,4.191396524248835,0.0137909927928915,5.0,1,12
PassiveWidthSweep,22686.12333235871,,22686.12333235871,22686.12333235871,22686.12333235871,1.0043732228456577,0.3720275352085744,4.0,1,12
VolProportionalWidth,21085.78377131909,,21085.78377131909,21085.78377131909,21085.78377131909,1.584853855487106,0.1881777942103104,5.0,1,12
ILMinimizer,21085.78377131909,,21085.78377131909,21085.78377131909,21085.78377131909,1.584853855487106,0.1881777942103104,5.0,1,12
PassiveWidthSweep,19314.840398604432,,19314.840398604432,19314.840398604432,19314.840398604432,1.7928188882243885,0.1474658094262689,5.0,1,13
ILMinimizer,19319.840398604432,,19319.840398604432,19319.840398604432,19319.840398604432,1.792267795009241,0.1475604581207836,5.0,1,13
ReactiveRecentering,34025.39824734339,,34025.39824734339,34025.39824734339,34025.39824734339,0.1714411639290609,0.8722004452977471,4.0,1,13
PPO,35580.86254282684,8282.364072752604,37537.06421127377,27952.79925120173,41250.72416600503,,,,5,13
VolProportionalWidth,19319.840398604432,,19319.840398604432,19319.840398604432,19319.840398604432,1.792267795009241,0.1475604581207836,5.0,1,13
PassiveWidthSweep,16852.439771798752,,16852.439771798752,16852.439771798752,16852.439771798752,-0.4601814892560849,0.6692896431144945,2.0,1,14
VolProportionalWidth,16650.180500466966,,16650.180500466966,16650.180500466966,16650.180500466966,-0.427941480902398,0.690728154206339,2.0,1,14
ILMinimizer,16650.180500466966,,16650.180500466966,16650.180500466966,16650.180500466966,-0.427941480902398,0.690728154206339,2.0,1,14
ReactiveRecentering,10594.542028706604,,10594.542028706604,10594.542028706604,10594.542028706604,0.5373237137704345,0.6195417605599518,4.0,1,14
PPO,13965.46866198302,5726.940481200199,10939.34266009008,9679.906319402387,18251.03100456365,,,,5,14
ReactiveRecentering,60.38138589494801,,60.38138589494801,60.38138589494801,60.38138589494801,0.7775114698601417,0.4802778705560022,3.0,1,15
PPO,6924.226397877057,8058.793749924082,8762.713276851358,1067.813840476157,13266.56352185961,,,,5,15
ILMinimizer,24935.35857299165,,24935.35857299165,24935.35857299165,24935.35857299165,-2.040235731848885,0.1109138932525136,0.0,1,15
PassiveWidthSweep,24540.53136224176,,24540.53136224176,24540.53136224176,24540.53136224176,-1.9955111373344356,0.1167133410760345,0.0,1,15
VolProportionalWidth,24935.35857299165,,24935.35857299165,24935.35857299165,24935.35857299165,-2.040235731848885,0.1109138932525136,0.0,1,15
PassiveWidthSweep,32943.074263071874,,32943.074263071874,32943.074263071874,32943.074263071874,-0.4558535550818663,0.6721462015452122,1.0,1,16
VolProportionalWidth,33105.562183295806,,33105.562183295806,33105.562183295806,33105.562183295806,-0.4694615842352421,0.6631873120913079,1.0,1,16
ILMinimizer,33105.562183295806,,33105.562183295806,33105.562183295806,33105.562183295806,-0.4694615842352421,0.6631873120913079,1.0,1,16
ReactiveRecentering,25723.50216087576,,25723.50216087576,25723.50216087576,25723.50216087576,0.1487707610284542,0.8889334428410285,3.0,1,16
PPO,27499.91307807668,10900.219057642324,32744.77600463872,19355.26137184081,35644.56478431255,,,,5,16
PassiveWidthSweep,38436.63000218488,,38436.63000218488,38436.63000218488,38436.63000218488,0.0662461523080074,0.9503607592393158,3.0,1,17
VolProportionalWidth,38441.63000218488,,38441.63000218488,38441.63000218488,38441.63000218488,0.0659544812592448,0.950578916297328,3.0,1,17
ILMinimizer,38441.63000218488,,38441.63000218488,38441.63000218488,38441.63000218488,0.0659544812592448,0.950578916297328,3.0,1,17
ReactiveRecentering,53400.26546843497,,53400.26546843497,53400.26546843497,53400.26546843497,-0.806645697640415,0.4650977925304443,0.0,1,17
PPO,39572.26126536746,15648.980813285154,50883.72704478385,28120.81095304495,51023.478118194704,,,,5,17
PPO,5893.098569856654,11831.63205552729,-2291.9279318656445,-2293.377648689372,16221.383048715148,,,,5,18
ILMinimizer,21438.03776814022,,21438.03776814022,21438.03776814022,21438.03776814022,-1.1993715679554984,0.2965699795529304,1.0,1,18
ReactiveRecentering,9411.805805135888,,9411.805805135888,9411.805805135888,9411.805805135888,-0.2714862605843579,0.7994525221562256,2.0,1,18
PassiveWidthSweep,21433.03776814022,,21433.03776814022,21433.03776814022,21433.03776814022,-1.1989857923816425,0.2967042381393844,1.0,1,18
VolProportionalWidth,21438.03776814022,,21438.03776814022,21438.03776814022,21438.03776814022,-1.1993715679554984,0.2965699795529304,1.0,1,18
PassiveWidthSweep,19010.668316232917,,19010.668316232917,19010.668316232917,19010.668316232917,-0.5132231292287194,0.6348406582263029,2.0,1,19
VolProportionalWidth,19015.668316232917,,19015.668316232917,19015.668316232917,19015.668316232917,-0.5139484989570456,0.6343769058586446,2.0,1,19
ILMinimizer,19015.668316232917,,19015.668316232917,19015.668316232917,19015.668316232917,-0.5139484989570456,0.6343769058586446,2.0,1,19
ReactiveRecentering,6753.423355103222,,6753.423355103222,6753.423355103222,6753.423355103222,1.2649837602678686,0.2745531200459711,5.0,1,19
PPO,15473.002563259231,6292.452617795861,12097.075676704992,10764.17232385567,20181.832802662797,,,,5,19
PPO,12048.237720224122,5270.684172877756,9805.447795863656,7953.659800436653,16081.613856530126,,,,5,20
ReactiveRecentering,16839.465161205917,,16839.465161205917,16839.465161205917,16839.465161205917,-0.8298300756562097,0.4532883961162079,2.0,1,20
VolProportionalWidth,21009.860767095084,,21009.860767095084,21009.860767095084,21009.860767095084,-1.552133440249183,0.1955814252407702,0.0,1,20
PassiveWidthSweep,20840.69309819095,,20840.69309819095,20840.69309819095,20840.69309819095,-1.5228339713313526,0.2024646132872612,0.0,1,20
ILMinimizer,21009.860767095084,,21009.860767095084,21009.860767095084,21009.860767095084,-1.552133440249183,0.1955814252407702,0.0,1,20
ReactiveRecentering,60307.27958150714,,60307.27958150714,60307.27958150714,60307.27958150714,-1.264196576280976,0.2748077883061846,1.0,1,21
PassiveWidthSweep,30914.79843440249,,30914.79843440249,30914.79843440249,30914.79843440249,0.3520510426236919,0.7425647222741651,2.0,1,21
VolProportionalWidth,30967.919463679194,,30967.919463679194,30967.919463679194,30967.919463679194,0.3491299984065491,0.74459585643477,2.0,1,21
ILMinimizer,30967.919463679194,,30967.919463679194,30967.919463679194,30967.919463679194,0.3491299984065491,0.74459585643477,2.0,1,21
PPO,37317.06842824664,16601.132933892877,30497.09194734787,24697.083254382032,50873.69232436268,,,,5,21
